UNIX_time[sec],CP_ref_x,CP_ref_y,ZMP_des_x,ZMP_des_y,CoM_position_x,CoM_positon_y,CP_lip_x,CP_lip_y
1.57744e+09,6.91582e-310,6.91582e-310,4.02673e-310,4.08869e-310,4.11646e-310,4.15054e-310,9.26623e-310,9.30096e-310,
1.57744e+09,6.91582e-310,6.91582e-310,4.15034e-310,4.21167e-310,4.18461e-310,4.21869e-310,9.33551e-310,9.36988e-310,
1.57744e+09,6.91582e-310,6.91582e-310,4.27267e-310,4.33336e-310,4.25277e-310,4.28685e-310,9.40407e-310,9.43808e-310,
1.57744e+09,6.91582e-310,6.91582e-310,4.39374e-310,4.4538e-310,4.32092e-310,4.35499e-310,9.47192e-310,9.50558e-310,
1.57744e+09,6.91582e-310,6.91582e-310,4.51354e-310,4.57298e-310,4.38905e-310,4.4231e-310,9.53906e-310,9.57238e-310,
1.57744e+09,6.91582e-310,6.91582e-310,4.63211e-310,4.69093e-310,4.45715e-310,4.49119e-310,9.60551e-310,9.63848e-310,
1.57744e+09,6.91582e-310,6.91582e-310,4.74944e-310,4.80766e-310,4.52522e-310,4.55924e-310,9.67127e-310,9.7039e-310,
1.57744e+09,6.91582e-310,6.91582e-310,4.86556e-310,4.92317e-310,4.59325e-310,4.62724e-310,9.73635e-310,9.76864e-310,
1.57744e+09,6.91582e-310,6.91582e-310,4.98048e-310,5.03749e-310,4.66122e-310,4.69519e-310,9.80076e-310,9.83271e-310,
1.57744e+09,6.91582e-310,6.91582e-310,5.0942e-310,5.15062e-310,4.72914e-310,4.76307e-310,9.86449e-310,9.89611e-310,
1.57744e+09,6.91582e-310,6.91582e-310,5.20675e-310,5.26258e-310,4.79698e-310,4.83088e-310,9.92757e-310,9.95886e-310,
1.57744e+09,6.91582e-310,6.91582e-310,5.31812e-310,5.37338e-310,4.86476e-310,4.89861e-310,9.98999e-310,1.0021e-309,
1.57744e+09,6.91582e-310,6.91582e-310,5.42834e-310,5.48303e-310,4.93245e-310,4.96626e-310,1.00518e-309,1.00824e-309,
1.57744e+09,6.91582e-310,6.91582e-310,5.53742e-310,5.59154e-310,5.00005e-310,5.03382e-310,1.01129e-309,1.01432e-309,
1.57744e+09,6.91582e-310,6.91582e-310,5.64537e-310,5.69892e-310,5.06756e-310,5.10127e-310,1.01734e-309,1.02034e-309,
1.57744e+09,6.91582e-310,6.91582e-310,5.7522e-310,5.8052e-310,5.13496e-310,5.16862e-310,1.02333e-309,1.0263e-309,
1.57744e+09,6.91582e-310,6.91582e-310,5.85792e-310,5.91037e-310,5.20225e-310,5.23586e-310,1.02925e-309,1.03219e-309,
1.57744e+09,6.91582e-310,6.91582e-310,5.96254e-310,6.01445e-310,5.26943e-310,5.30297e-310,1.03512e-309,1.03802e-309,
